Country name,Ladder score,upperwhisker,lowerwhisker,Dystopia + residual,Log GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,share_Dystopia + residual,share_Log GDP per capita,share_Social support,share_Healthy life expectancy,share_Freedom to make life choices,share_Generosity,share_Perceptions of corruption
Morocco,4.795,4.912,4.677,1.861,1.213,0.471,0.495,0.631,0.042,0.082,38.81126173096976,25.297184567257563,9.822732012513034,10.323253388946819,13.159541188738269,0.8759124087591241,1.7101147028154327
Pakistan,4.657,4.779,4.535,1.907,1.069,0.6,0.321,0.542,0.144,0.074,40.949108868370196,22.954691861713545,12.883830792355594,6.892849473910243,11.638393815761221,3.092119390165342,1.5890057977238563
Niger,4.556,4.712,4.401,2.107,0.573,0.677,0.293,0.615,0.145,0.147,46.2467076382792,12.576821773485513,14.859525899912205,6.431079894644425,13.498683055311677,3.1826163301141355,3.2265144863915713
Burkina Faso,4.548,4.686,4.41,1.999,0.756,0.685,0.274,0.483,0.173,0.179,43.95338610378188,16.62269129287599,15.06156552330695,6.024626209322779,10.620052770448549,3.803869832893579,3.935795954265611
Mauritania,4.505,4.673,4.337,1.649,1.078,0.705,0.4,0.343,0.133,0.198,36.60377358490566,23.928967813540513,15.64927857935627,8.879023307436183,7.613762486126527,2.952275249722531,4.39511653718091
Gambia,4.485,4.625,4.344,1.89,0.75,0.684,0.33,0.459,0.324,0.048,42.14046822742474,16.722408026755854,15.250836120401337,7.357859531772575,10.234113712374581,7.224080267558527,1.0702341137123745
Chad,4.471,4.63,4.313,2.122,0.603,0.805,0.199,0.411,0.218,0.113,47.46141802728695,13.486915678819056,18.004920599418476,4.450905837620219,9.192574368150302,4.875866696488481,2.5273987922165064
Kenya,4.47,4.595,4.344,1.316,1.037,0.895,0.353,0.519,0.282,0.069,29.440715883668904,23.19910514541387,20.022371364653246,7.8970917225950785,11.610738255033558,6.308724832214765,1.5436241610738257
Tunisia,4.422,4.505,4.338,1.285,1.306,0.955,0.579,0.254,0.024,0.018,29.05924920850294,29.53414744459521,21.596562641338764,13.093622795115332,5.74400723654455,0.542740841248304,0.40705563093622793
Benin,4.377,4.51,4.245,2.121,0.914,0.128,0.284,0.567,0.112,0.252,48.45784784098698,20.88188256796893,2.924377427461732,6.488462417180717,12.954078135709391,2.5588302490290156,5.757368060315285
Uganda,4.372,4.501,4.243,1.256,0.772,1.151,0.373,0.587,0.178,0.054,28.728270814272644,17.657822506861848,26.326623970722785,8.53156450137237,13.426349496797805,4.071363220494053,1.2351326623970724
Myanmar,4.354,4.501,4.208,0.928,0.978,0.988,0.436,0.45,0.401,0.174,21.31373449701424,22.462103812586125,22.691777675700507,10.013780431786861,10.335323840146991,9.20992191088654,3.996325218190169
