name,year,movie_rated,run_length,genres,release_date,rating,num_raters,num_reviews,review_url,duration_min,type
28 Days Later...,2002,R,1h 53min,Drama; Horror; Sci-Fi; ,27 June 2003 (USA),7.6,367391,1513,https://www.imdb.com/title/tt0289043/reviews/_ajax?ref_=undefined&paginationKey=,113,Drama
Cloverfield,2008,PG-13,1h 25min,Action; Adventure; Horror; ,18 January 2008 (USA),7.0,365910,2336,https://www.imdb.com/title/tt1060277/reviews/_ajax?ref_=undefined&paginationKey=,85,Action
The Cabin in the Woods,2011,R,1h 35min,Horror; ,13 April 2012 (USA),7.0,363506,1190,https://www.imdb.com/title/tt1259521/reviews/_ajax?ref_=undefined&paginationKey=,95,Horror
The Thing,1982,R,1h 49min,Horror; Mystery; Sci-Fi; ,25 June 1982 (USA),8.1,356786,1095,https://www.imdb.com/title/tt0084787/reviews/_ajax?ref_=undefined&paginationKey=,109,Horror
The Exorcist,1973,R,2h 2min,Horror; ,26 December 1973 (USA),8.0,352076,1220,https://www.imdb.com/title/tt0070047/reviews/_ajax?ref_=undefined&paginationKey=,122,Horror
Sweeney Todd: The Demon Barber of Fleet Street,2007,R,1h 56min,Drama; Horror; ,21 December 2007 (USA),7.3,335791,832,https://www.imdb.com/title/tt0408236/reviews/_ajax?ref_=undefined&paginationKey=,116,Drama
The Others,2001,PG-13,1h 44min,Horror; Mystery; Thriller; ,10 August 2001 (USA),7.6,328624,1147,https://www.imdb.com/title/tt0230600/reviews/_ajax?ref_=undefined&paginationKey=,104,Horror
Sleepy Hollow,1999,R,1h 45min,Fantasy; Horror; Mystery; ,19 November 1999 (USA),7.3,320861,1023,https://www.imdb.com/title/tt0162661/reviews/_ajax?ref_=undefined&paginationKey=,105,Fantasy
The Ring,2002,PG-13,1h 55min,Horror; Mystery; ,18 October 2002 (USA),7.1,313252,1666,https://www.imdb.com/title/tt0298130/reviews/_ajax?ref_=undefined&paginationKey=,115,Horror
Hellboy,2004,PG-13,2h 2min,Action; Fantasy; Horror; ,2 April 2004 (USA),6.8,301510,649,https://www.imdb.com/title/tt0167190/reviews/_ajax?ref_=undefined&paginationKey=,122,Action
Constantine,2005,R,2h 1min,Action; Fantasy; Horror; ,18 February 2005 (USA),7.0,296689,1074,https://www.imdb.com/title/tt0360486/reviews/_ajax?ref_=undefined&paginationKey=,121,Action
Interview with the Vampire: The Vampire Chronicles,1994,R,2h 3min,Drama; Horror; ,11 November 1994 (USA),7.6,287602,462,https://www.imdb.com/title/tt0110148/reviews/_ajax?ref_=undefined&paginationKey=,123,Drama
10 Cloverfield Lane,2016,PG-13,1h 43min,Drama; Horror; Mystery; ,11 March 2016 (USA),7.2,280919,752,https://www.imdb.com/title/tt1179933/reviews/_ajax?ref_=undefined&paginationKey=,103,Drama
Scream,1996,R,1h 51min,Horror; Mystery; ,20 December 1996 (USA),7.2,276753,969,https://www.imdb.com/title/tt0117571/reviews/_ajax?ref_=undefined&paginationKey=,111,Horror
The Mist,2007,R,2h 6min,Horror; Sci-Fi; ,21 November 2007 (USA),7.1,274365,1184,https://www.imdb.com/title/tt0884328/reviews/_ajax?ref_=undefined&paginationKey=,126,Horror
Alien 3,1992,R,1h 54min,Action; Horror; Sci-Fi; ,22 May 1992 (USA),6.5,269938,903,https://www.imdb.com/title/tt0103644/reviews/_ajax?ref_=undefined&paginationKey=,114,Action
Insidious,2010,PG-13,1h 43min,Horror; Mystery; Thriller; ,1 April 2011 (USA),6.8,269839,885,https://www.imdb.com/title/tt1591095/reviews/_ajax?ref_=undefined&paginationKey=,103,Horror
Annihilation,2018,R,1h 55min,Adventure; Drama; Horror; ,23 February 2018 (USA),6.9,267574,1909,https://www.imdb.com/title/tt2798920/reviews/_ajax?ref_=undefined&paginationKey=,115,Adventure
Bird Box,2018,R,2h 4min,Drama; Horror; Sci-Fi; ,21 December 2018 (USA),6.6,262311,2765,https://www.imdb.com/title/tt2737304/reviews/_ajax?ref_=undefined&paginationKey=,124,Drama
28 Weeks Later,2007,R,1h 40min,Horror; Sci-Fi; ,11 May 2007 (USA),7.0,253591,789,https://www.imdb.com/title/tt0463854/reviews/_ajax?ref_=undefined&paginationKey=,100,Horror
1408,2007,PG-13,1h 44min,Fantasy; Horror; Mystery; ,22 June 2007 (USA),6.8,250909,635,https://www.imdb.com/title/tt0450385/reviews/_ajax?ref_=undefined&paginationKey=,104,Fantasy
Alien: Covenant,2017,R,2h 2min,Horror; Sci-Fi; Thriller; ,19 May 2017 (USA),6.4,245959,2058,https://www.imdb.com/title/tt2316204/reviews/_ajax?ref_=undefined&paginationKey=,122,Horror
Resident Evil,2002,R,1h 40min,Action; Horror; Sci-Fi; ,15 March 2002 (USA),6.7,242106,1175,https://www.imdb.com/title/tt0120804/reviews/_ajax?ref_=undefined&paginationKey=,100,Action
Dark Shadows,2012,PG-13,1h 53min,Comedy; Fantasy; Horror; ,11 May 2012 (USA),6.2,241602,528,https://www.imdb.com/title/tt1077368/reviews/_ajax?ref_=undefined&paginationKey=,113,Comedy
Blade,1998,R,2h,Action; Horror; Sci-Fi; ,21 August 1998 (USA),7.1,238439,631,https://www.imdb.com/title/tt0120611/reviews/_ajax?ref_=undefined&paginationKey=,120,Action
Dawn of the Dead,2004,R,1h 41min,Action; Horror; ,19 March 2004 (USA),7.3,229395,1102,https://www.imdb.com/title/tt0363547/reviews/_ajax?ref_=undefined&paginationKey=,101,Action
Saw II,2005,R,1h 33min,Horror; Mystery; ,28 October 2005 (USA),6.6,227842,885,https://www.imdb.com/title/tt0432348/reviews/_ajax?ref_=undefined&paginationKey=,93,Horror
The Blair Witch Project,1999,R,1h 21min,Horror; Mystery; ,30 July 1999 (USA),6.5,226133,3515,https://www.imdb.com/title/tt0185937/reviews/_ajax?ref_=undefined&paginationKey=,81,Horror
Final Destination,2000,R,1h 38min,Horror; Thriller; ,17 March 2000 (USA),6.7,223423,727,https://www.imdb.com/title/tt0195714/reviews/_ajax?ref_=undefined&paginationKey=,98,Horror
Alien: Resurrection,1997,R,1h 49min,Action; Horror; Sci-Fi; ,26 November 1997 (USA),6.2,222998,726,https://www.imdb.com/title/tt0118583/reviews/_ajax?ref_=undefined&paginationKey=,109,Action
Pitch Black,2000,R,1h 49min,Action; Horror; Sci-Fi; ,18 February 2000 (USA),7.1,221434,825,https://www.imdb.com/title/tt0134847/reviews/_ajax?ref_=undefined&paginationKey=,109,Action
Halloween,1978,R,1h 31min,Horror; Thriller; ,27 October 1978 (USA),7.8,220718,1434,https://www.imdb.com/title/tt0077651/reviews/_ajax?ref_=undefined&paginationKey=,91,Horror
Paranormal Activity,2007,R,1h 26min,Horror; Mystery; Thriller; ,16 October 2009 (USA),6.3,216058,1262,https://www.imdb.com/title/tt1179904/reviews/_ajax?ref_=undefined&paginationKey=,86,Horror
The Conjuring 2,2016,R,2h 14min,Horror; Mystery; Thriller; ,10 June 2016 (USA),7.3,215863,548,https://www.imdb.com/title/tt3065204/reviews/_ajax?ref_=undefined&paginationKey=,134,Horror
Warm Bodies,2013,PG-13,1h 38min,Comedy; Horror; Romance; ,1 February 2013 (USA),6.9,215658,378,https://www.imdb.com/title/tt1588173/reviews/_ajax?ref_=undefined&paginationKey=,98,Comedy
Hereditary,2018,R,2h 7min,Drama; Horror; Mystery; ,8 June 2018 (USA),7.3,214947,3086,https://www.imdb.com/title/tt7784604/reviews/_ajax?ref_=undefined&paginationKey=,127,Drama
Sinister,2012,R,1h 50min,Horror; Mystery; Thriller; ,12 October 2012 (USA),6.8,212002,667,https://www.imdb.com/title/tt1922777/reviews/_ajax?ref_=undefined&paginationKey=,110,Horror
Silent Hill,2006,R,2h 5min,Horror; ,21 April 2006 (USA),6.5,210033,1796,https://www.imdb.com/title/tt0384537/reviews/_ajax?ref_=undefined&paginationKey=,125,Horror
Don't Breathe,2016,R,1h 28min,Crime; Horror; Thriller; ,26 August 2016 (USA),7.1,209689,639,https://www.imdb.com/title/tt4160708/reviews/_ajax?ref_=undefined&paginationKey=,88,Crime
Us,2019,R,1h 56min,Horror; Mystery; Thriller; ,22 March 2019 (USA),6.9,204733,3049,https://www.imdb.com/title/tt6857112/reviews/_ajax?ref_=undefined&paginationKey=,116,Horror
It Follows,2014,R,1h 40min,Horror; Mystery; Thriller; ,13 March 2015 (USA),6.8,201008,997,https://www.imdb.com/title/tt3235888/reviews/_ajax?ref_=undefined&paginationKey=,100,Horror
Life,2017,R,1h 44min,Horror; Sci-Fi; Thriller; ,24 March 2017 (USA),6.6,199775,1042,https://www.imdb.com/title/tt5442430/reviews/_ajax?ref_=undefined&paginationKey=,104,Horror
A Nightmare on Elm Street,1984,R,1h 31min,Horror; ,16 November 1984 (USA),7.5,198628,784,https://www.imdb.com/title/tt0087800/reviews/_ajax?ref_=undefined&paginationKey=,91,Horror
The Purge,2013,R,1h 25min,Horror; Thriller; ,7 June 2013 (USA),5.7,197141,736,https://www.imdb.com/title/tt2184339/reviews/_ajax?ref_=undefined&paginationKey=,85,Horror
The Descent,2005,R,1h 39min,Adventure; Horror; Thriller; ,4 August 2006 (USA),7.2,195614,1226,https://www.imdb.com/title/tt0435625/reviews/_ajax?ref_=undefined&paginationKey=,99,Adventure
Blade II,2002,R,1h 57min,Action; Fantasy; Horror; ,22 March 2002 (USA),6.7,195387,574,https://www.imdb.com/title/tt0187738/reviews/_ajax?ref_=undefined&paginationKey=,117,Action
Hansel & Gretel: Witch Hunters,2013,R,1h 28min,Action; Fantasy; Horror; ,25 January 2013 (USA),6.1,191273,345,https://www.imdb.com/title/tt1428538/reviews/_ajax?ref_=undefined&paginationKey=,88,Action
Gremlins,1984,PG,1h 46min,Comedy; Fantasy; Horror; ,8 June 1984 (USA),7.3,190570,318,https://www.imdb.com/title/tt0087363/reviews/_ajax?ref_=undefined&paginationKey=,106,Comedy
