doc_id,paragraph_id,sentence_id,sentence,token_id,token,lemma,upos,xpos,feats,head_token_id,dep_rel,deps,misc
doc29099,1,1,easiest,1,easiest,easiest,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc29100,1,1,st:big,1,st,st,ADJ,JJS,Degree=Sup,0,root,NA,SpaceAfter=No
doc29100,1,1,st:big,3,big,big,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29101,1,1,closet:easy,3,easy,easy,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29104,1,1,dt:sunny,1,dt,dt,ADJ,JJS,Degree=Sup,0,root,NA,SpaceAfter=No
doc29104,1,1,dt:sunny,3,sunny,sunny,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29106,1,1,kitch:close,3,close,close,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29108,1,1,efficiency:great,3,great,great,ADJ,JJ,Degree=Pos,1,appos,NA,SpacesAfter=\n
doc29115,1,1,st:remodeled:amazing,2,amazing,amazing,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29123,1,1,free.private,1,free.private,free.private,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29125,1,1,cristobal,1,cristobal,cristobal,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29126,1,1,ok:pkg,1,ok,ok,ADJ,JJ,Degree=Pos,0,root,NA,SpaceAfter=No
doc29128,1,1,dishwasher.stainless,1,dishwasher.stainless,dishwasher.stainless,ADJ,JJS,Degree=Sup,0,root,NA,SpacesAfter=\n
doc29131,1,1,sharp_,1,sharp,sharp,ADJ,JJ,Degree=Pos,0,root,NA,SpaceAfter=No
doc29133,1,1,sunny:newly,1,sunny,sunny,ADJ,JJ,Degree=Pos,0,root,NA,SpaceAfter=No
doc29151,1,1,nautical,1,nautical,nautical,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29160,1,1,drastic,1,drastic,drastic,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29182,1,1,minimal,1,minimal,minimal,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29204,1,1,comfortw,1,comfortw,comfortw,ADJ,JJ,Degree=Pos,0,root,NA,SpacesAfter=\n
doc29236,1,1,d.h,1,d,would,ADJ,JJ,Degree=Pos,2,amod,NA,SpaceAfter=No
