homelon;homelat;homecontinent;n
-104.85;21.75;South America;2
-104.82;32.99;North America;4
-104.82;38.83;North America;71
-104.82;41.14;North America;3
-104.79;38.8;North America;5
-104.78;38.72;North America;6
-104.78;38.83;North America;5
-104.66;24.56;South America;9
-104.65;24.03;South America;15
-104.62;50.45;North America;6
-104.52;33.39;North America;35
-104.5;37.17;North America;10
-104.36;19.76;South America;6
-104.34;19.11;South America;15
-104.01;19.12;South America;17
-103.46;25.54;South America;2
-103.44;20.55;South America;2
-103.42;20.67;South America;3
-103.41;25.54;South America;3
-103.39;20.69;South America;2
-103.39;20.77;South America;4
-103.38;20.69;South America;32
-103.35;20.66;South America;80
-103.35;20.67;South America;3
-103.31;20.53;South America;4
-103.31;20.64;South America;2
-103.23;44.08;North America;3
-102.87;42.09;North America;10
-102.59;22.76;South America;2
-102.55;23.63;South America;678
-102.52;22.73;South America;2
-102.47;51.22;North America;5
-102.41;34.23;North America;349
-102.34;31.89;North America;2
-102.29;21.89;South America;2
